item_id,paradigm,domain,difficulty_level,question,correct_answer
staircase_math_006,staircase,math,3,"David earned money over 2 days. On Monday, David earned $119. On Tuesday, David earned $300. David was wearing a red hat that day. How much did David earn in total?",419
staircase_math_010,staircase,math,6,"Tom wants to buy a bicycle that costs $2844. The store is offering a 50% discount today. The store's loyalty program showed Tom had 40 points, which weren't redeemable yet. The cashier mentioned they had sold 36 items earlier that day to someone else. How much does Tom pay after the discount?",1422
staircase_math_012,staircase,math,2,Maria has 39 bananas. Maria gives 17 to Rachel and buys 42 more. How many bananas does Maria have now?,64
staircase_math_017,staircase,math,3,Sarah has 199 pears. The store had been open since 1987. Sarah gives 75 to Aisha and buys 113 more. How many pears does Sarah have now?,237
staircase_math_018,staircase,math,4,"Carlos earned money over 3 days. On Monday, Carlos earned $294. On Tuesday, Carlos earned $513. On Wednesday, Carlos earned $189. The cashier mentioned they had sold 2 items earlier that day to someone else. How much did Carlos earn in total?",996
staircase_math_019,staircase,math,3,Tom has 20 oranges. Tom was wearing a red hat that day. Tom gives 8 to Sarah and buys 136 more. How many oranges does Tom have now?,148
staircase_math_022,staircase,math,1,Rachel goes to a store to buy notebooks. Each notebook costs $1. Rachel buys 17 of them. How much does Rachel spend in total?,17
staircase_math_025,staircase,math,4,"Aisha earned a total of $1280 over three days. There were 6 items in the clearance bin, but Aisha wasn't interested. On the first day, Aisha earned $580. On the second day, Aisha earned $402. How much did Aisha earn on the third day?",298
staircase_math_031,staircase,math,5,"Rachel bought 10 markers and paid $1690 in total. Each marker cost the same amount. The store's loyalty program showed Rachel had 21 points, which weren't redeemable yet. How much did each marker cost?",169
staircase_math_035,staircase,math,4,Nadia has 661 bananas and 247 apples. Nadia gives 178 bananas to a friend. Nadia noticed that 27 other customers were in the store. How many bananas does Nadia have now?,483
staircase_math_036,staircase,math,2,Sarah has $31. Sarah spends $7 on a book. Sarah spends $10 on a gift. How much money does Sarah have left?,14
staircase_math_040,staircase,math,4,"Sarah goes shopping with $938. Sarah buys 5 markers at $79 each. There were 29 items in the clearance bin, but Sarah wasn't interested. Sarah buys 1 pens at $48 each. Sarah buys 4 notebooks at $56 each. How much money does Sarah have left?",271
staircase_math_043,staircase,math,3,Kenji has 118 cookies. Kenji's favorite color is blue. Lin has 3 times as many cookies as Kenji. How many cookies do they have together?,472
staircase_math_048,staircase,math,5,Aisha has $6163. Aisha spends $1799 on a gift. Aisha spends $228 on a book. Aisha had 48 coupons in a drawer at home but forgot to bring them. Aisha spends $2314 on coffee. How much money does Aisha have left?,1822
staircase_math_051,staircase,math,3,Priya has 416 stickers and wants to share them equally among 4 friends. Priya was wearing a red hat that day. How many stickers does each friend get?,104
staircase_math_052,staircase,math,1,David has 28 mangoes. David gives 11 to Maria and buys 27 more. How many mangoes does David have now?,44
staircase_math_055,staircase,math,1,James has 12 cookies and wants to share them equally among 6 friends. How many cookies does each friend get?,2
staircase_math_056,staircase,math,6,"James has 1566 cookies. The store also had 25 envelopes on display, but James didn't buy any. Nadia has 2 times as many cookies as James. James's friend had mentioned wanting 45 cookies, but James didn't get any for them. How many cookies do they have together?",4698
staircase_math_059,staircase,math,3,"Nadia builds 38 widgets per day. The store had been open since 1987. If Nadia works for 8 days, how many widgets does Nadia produce?",304
staircase_math_061,staircase,math,4,"Omar has 548 bananas and 417 mangoes. Omar gives 200 bananas to a friend. Omar's friend had mentioned wanting 46 bananas, but Omar didn't get any for them. How many bananas does Omar have now?",348
staircase_math_072,staircase,math,4,"Kenji saves $109 every week for 5 weeks. During that time, Kenji spends $5 on concert tickets. Kenji's friend had mentioned wanting 39 items, but Kenji didn't get any for them. How much money does Kenji have at the end?",540
staircase_math_074,staircase,math,5,"Tom earned money over 3 days. On Monday, Tom earned $701. On Tuesday, Tom earned $4744. On Wednesday, Tom earned $5221. The shelf had 37 empty spots where items used to be. How much did Tom earn in total?",10666
staircase_math_077,staircase,math,4,"Lin bought 3 markers and paid $441 in total. On the way there, Lin passed 29 houses. Each marker cost the same amount. How much did each marker cost?",147
staircase_math_078,staircase,math,5,Fatima goes shopping with $4509. Fatima buys 8 erasers at $156 each. Fatima had 46 coupons in a drawer at home but forgot to bring them. Fatima buys 5 markers at $113 each. Fatima buys 6 folders at $65 each. How much money does Fatima have left?,2306
staircase_math_082,staircase,math,6,"Alex earned a total of $15117 over three days. On the way there, Alex passed 10 houses. The store also had 29 batteries on display, but Alex didn't buy any. On the first day, Alex earned $2220. On the second day, Alex earned $6424. How much did Alex earn on the third day?",6473
staircase_math_083,staircase,math,4,Kenji bought 9 notebooks and paid $315 in total. The shelf had 35 empty spots where notebooks used to be. Each notebook cost the same amount. How much did each notebook cost?,35
staircase_math_085,staircase,math,4,"Priya has 188 bananas and 180 oranges. There were 38 items in the clearance bin, but Priya wasn't interested. Priya gives 77 bananas to a friend. How many bananas does Priya have now?",111
staircase_math_086,staircase,math,4,Aisha wants to buy a camera that costs $748. The store is offering a 50% discount today. Aisha noticed that 49 other customers were in the store. How much does Aisha pay after the discount?,374
staircase_math_087,staircase,math,2,"Nadia earned money over 4 days. On Monday, Nadia earned $17. On Tuesday, Nadia earned $18. On Wednesday, Nadia earned $26. On Thursday, Nadia earned $16. How much did Nadia earn in total?",77
staircase_math_088,staircase,math,3,Tom has 340 mangoes. The receipt was printed on recycled paper. Tom gives 131 to Aisha and buys 472 more. How many mangoes does Tom have now?,681
staircase_logic_000,staircase,logic,4,Finn is a Snazzles. Every Snazzles is a Murnips. Every Murnips is a Flimbers. All Blorps are wise. Every Flimbers is a Wumpuses. Is Finn a Quibbles?,Cannot be determined
staircase_logic_005,staircase,logic,3,Mina's favorite color is orange. Jake enjoys gardening. Finn's favorite color is yellow. Gina's favorite color is blue. Iris does not like blue or orange. Iris's favorite color is red. Noel does not like blue. What is Noel's favorite color?,purple
staircase_logic_008,staircase,logic,3,"If something is a Snazzles, it might be wise. Ora is a Quibbles. Every Quibbles is a Tazzles. Every Tazzles is a Grumpkins. Every Grumpkins is a Fizzgigs. Is Ora a Fizzgigs?",Yes
staircase_logic_010,staircase,logic,4,All Snazzles are kind. Ora is a Murnips. All Murnips are quiet. All quiet things are kind. Is Ora not kind?,No
staircase_logic_015,staircase,logic,5,"Hugo is a Drazzles. All Drazzles are fast. If something is fast, then it is wise. Some Quibbles are tall. If something is wise, then it is kind. Is Hugo clever?",Cannot be determined
staircase_logic_016,staircase,logic,3,"All Vexlings are wise. Kira is a Drazzles. All Drazzles are quiet. If something is quiet, then it is wise. Is Kira wise?",Yes
staircase_logic_018,staircase,logic,4,"Paul is a Vexlings. Some Tazzles are clever. All Vexlings are kind. If something is kind, then it is friendly. Is Paul friendly?",Yes
staircase_logic_024,staircase,logic,6,"Paul is a Murnips. All Murnips are wise. If something is wise, then it is fast. If something is fast, then it is clever. All Fizzgigs are wise. Some Drogons are happy. Is Paul clever?",Yes
staircase_logic_025,staircase,logic,3,"Cora is a Vexlings. All Vexlings are brave. Some Flimbers are quiet. If something is brave, then it is fast. Is Cora wise?",Cannot be determined
staircase_logic_028,staircase,logic,3,"Paul is a Drogons. Some Plonkers are friendly. All Drogons are fast. If something is fast, then it is happy. Is Paul happy?",Yes
staircase_logic_033,staircase,logic,5,Hugo's favorite color is red. Cora enjoys gardening. Finn's favorite color is blue. Ora does not like blue or purple. Ora's favorite color is orange. Paul does not like orange. What is Paul's favorite color?,purple
staircase_logic_035,staircase,logic,3,Gina's favorite color is purple. Eve does not like blue or purple. Eve's favorite color is green. Iris does not like blue or purple. Noel enjoys painting. Iris's favorite color is orange. Paul does not like purple. What is Paul's favorite color?,blue
staircase_logic_038,staircase,logic,2,Dan is a Murnips. Every Murnips is a Wumpuses. Every Wumpuses is a Snazzles. Is Dan a Wumpuses?,Yes
staircase_logic_042,staircase,logic,4,Leo is a Wumpuses. All Grumpkins are kind. Every Wumpuses is a Zephlins. Every Zephlins is a Snazzles. Every Snazzles is a Drazzles. Is Leo a Drogons?,Cannot be determined
staircase_logic_043,staircase,logic,6,Leo's favorite color is blue. Cora does not like blue or red. Eve enjoys cooking. Gina enjoys painting. Cora's favorite color is yellow. Ava does not like purple or blue. Ava's favorite color is green. Jake's favorite color is red. Paul does not like yellow. What is Paul's favorite color?,purple
staircase_logic_045,staircase,logic,2,"Mina is a Fizzgigs. All Fizzgigs are tall. If something is tall, then it is clever. Is Mina clever?",Yes
staircase_logic_046,staircase,logic,5,Some Plonkers are fast. Paul is a Grumpkins. Every Grumpkins is a Drazzles. Every Drazzles is a Kelpoids. Every Kelpoids is a Blorps. Every Blorps is a Wumpuses. Is Paul a Flimbers?,Cannot be determined
staircase_logic_047,staircase,logic,6,"Paul is a Vexlings. All Flimbers are fast. All Vexlings are kind. If something is kind, then it is wise. If something is wise, then it is fast. Some Drogons are strong. Is Paul fast?",Yes
staircase_logic_049,staircase,logic,4,"Mina is a Plonkers. All Plonkers are quiet. All quiet things are clever. If something is a Tazzles, it might be happy. Is Mina not clever?",No
staircase_logic_050,staircase,logic,3,"Some Drogons are brave. Cora is a Grumpkins. All Grumpkins are tall. If something is tall, then it is fast. Is Cora fast?",Yes
staircase_logic_051,staircase,logic,4,Eve's favorite color is yellow. Hugo's favorite color is red. Ora enjoys chess. Leo's favorite color is blue. Kira does not like yellow. What is Kira's favorite color?,green
staircase_logic_053,staircase,logic,6,Dan's favorite color is blue. Mina enjoys painting. Eve enjoys gardening. Ora does not like purple or green. Ora's favorite color is red. Iris does not like red or green. Iris's favorite color is yellow. Noel's favorite color is green. Finn does not like blue. What is Finn's favorite color?,purple
staircase_logic_057,staircase,logic,3,Noel's favorite color is red. Finn's favorite color is purple. Leo does not like green or red. Hugo enjoys cooking. Leo's favorite color is orange. Dan does not like purple. What is Dan's favorite color?,green
staircase_logic_066,staircase,logic,3,"Some Drazzles are wise. Hugo is a Plonkers. All Plonkers are friendly. If something is friendly, then it is clever. Is Hugo strong?",Cannot be determined
staircase_logic_067,staircase,logic,3,Finn is a Wumpuses. Some Drazzles are kind. Every Wumpuses is a Plonkers. Every Plonkers is a Zephlins. Every Zephlins is a Murnips. Is Finn a Grumpkins?,Cannot be determined
staircase_logic_069,staircase,logic,4,"Noel is a Zephlins. All Zephlins are strong. All Drazzles are clever. If something is strong, then it is quiet. Is Noel wise?",Cannot be determined
staircase_logic_073,staircase,logic,3,"If something is a Drazzles, it might be friendly. Kira is a Flimbers. All Flimbers are quiet. If something is quiet, then it is strong. Is Kira strong?",Yes
staircase_logic_074,staircase,logic,5,Ava's favorite color is purple. Finn does not like purple or green. Finn's favorite color is yellow. Jake's favorite color is red. Kira does not like yellow or red. Kira's favorite color is green. Gina enjoys painting. Iris does not like red. What is Iris's favorite color?,blue
staircase_logic_079,staircase,logic,6,Eve's favorite color is orange. Kira's favorite color is yellow. Ora's favorite color is purple. Cora does not like yellow or purple. Mina enjoys cooking. Cora's favorite color is blue. Noel does not like blue. Ava enjoys painting. What is Noel's favorite color?,red
staircase_logic_089,staircase,logic,4,Paul is a Grumpkins. All Flimbers are brave. All Grumpkins are quiet. All quiet things are wise. Is Paul wise?,Yes
strategy_002,strategy_switch,math,6,"Lin earned a total of $25013 over three days. On the first day, Lin earned $6920. The store also had 24 candles on display, but Lin didn't buy any. On the second day, Lin earned $9146. Lin noticed that 11 other customers were in the store. How much did Lin earn on the third day?",8947
strategy_003,strategy_switch,math,5,"Nadia has 2344 bananas and 7852 pears. There were 34 items in the clearance bin, but Nadia wasn't interested. Nadia gives 359 bananas to a friend. How many bananas does Nadia have now?",1985
strategy_007,strategy_switch,math,6,Nadia bought 9 pens and paid $1134 in total. Each pen cost the same amount. The cashier mentioned they had sold 39 pens earlier that day to someone else. Nadia noticed that 9 other customers were in the store. How much did each pen cost?,126
strategy_008,strategy_switch,math,4,Lin has 43 pencils. Aisha has 3 times as many pencils as Lin. The cashier mentioned they had sold 9 pencils earlier that day to someone else. How many pencils do they have together?,172
strategy_012,strategy_switch,math,5,Kenji starts a small business selling mugs. Kenji buys 70 mugs at $24 each. Kenji sells 55 of them at $36 each. Kenji also pays $180 in overhead costs. Kenji noticed that 10 other customers were in the store. What is Kenji's profit?,120
strategy_014,strategy_switch,math,3,Carlos has 428 toy cars and wants to share them equally among 4 friends. Carlos was wearing a red hat that day. How many toy cars does each friend get?,107
strategy_017,strategy_switch,math,4,"Marcus and Kenji sort files together. Marcus can finish 27 per hour and Kenji can finish 16 per hour. They work together for 6 hours. The store also had 5 candles on display, but Marcus didn't buy any. How many do they complete in total?",258
strategy_019,strategy_switch,math,4,Maria has 406 stickers and wants to share them equally among 7 friends. The shelf had 31 empty spots where stickers used to be. How many stickers does each friend get?,58
strategy_020,strategy_switch,math,2,Rachel has $51. Rachel spends $10 on a gift. Rachel spends $13 on a shirt. How much money does Rachel have left?,28
strategy_021,strategy_switch,math,6,"Priya builds 147 widgets per day. The shelf had 49 empty spots where items used to be. On the way there, Priya passed 20 houses. If Priya works for 5 days, how many widgets does Priya produce?",735
strategy_027,strategy_switch,math,3,Lin wants to buy a bicycle that costs $300. Lin was wearing a red hat that day. The store is offering a 10% discount today. How much does Lin pay after the discount?,270
strategy_028,strategy_switch,math,6,"Priya reads 199 pages per hour. The shelf had 17 empty spots where items used to be. There were 44 items in the clearance bin, but Priya wasn't interested. If Priya works for 3 hours, how many pages does Priya read?",597
strategy_029,strategy_switch,math,4,"Alex builds 73 widgets per day. Alex noticed that 42 other customers were in the store. If Alex works for 4 days, how many widgets does Alex produce?",292
strategy_030,strategy_switch,math,6,"Aisha and Sarah sort files together. 9 of the items were slightly bruised, but Aisha kept them all. Aisha can finish 55 per hour and Sarah can finish 87 per hour. They work together for 8 hours. Aisha noticed that 21 other customers were in the store. How many do they complete in total?",1136
strategy_031,strategy_switch,math,4,"Kenji has $1131. 40 of the items were slightly bruised, but Kenji kept them all. Kenji spends $260 on a book. Kenji spends $245 on a gift. How much money does Kenji have left?",626
strategy_032,strategy_switch,math,6,Tom wants to buy a camera that costs $7096. Tom noticed that 2 other customers were in the store. Tom had 34 coupons in a drawer at home but forgot to bring them. The store is offering a 25% discount today. How much does Tom pay after the discount?,5322
strategy_037,strategy_switch,math,4,"Alex types 140 words per minute. The shelf had 11 empty spots where items used to be. If Alex works for 4 minutes, how many words does Alex type?",560
strategy_042,strategy_switch,math,4,Sarah has 104 oranges. Sarah gives 11 to Omar and buys 765 more. The shelf had 48 empty spots where oranges used to be. How many oranges does Sarah have now?,858
strategy_044,strategy_switch,math,5,"Alex goes shopping with $4024. On the way there, Alex passed 30 houses. Alex buys 7 notebooks at $85 each. Alex buys 1 rulers at $103 each. Alex buys 6 pens at $30 each. How much money does Alex have left?",3146
strategy_045,strategy_switch,math,2,Omar has 21 pencils and wants to share them equally among 7 friends. How many pencils does each friend get?,3
strategy_046,strategy_switch,math,6,"James has 791 apples and 8727 mangoes. James gives 58 apples to a friend. The store also had 6 stamps on display, but James didn't buy any. James's friend had mentioned wanting 18 apples, but James didn't get any for them. How many apples does James have now?",733
strategy_050,strategy_switch,math,5,"Tom earned money over 2 days. Tom's friend had mentioned wanting 7 items, but Tom didn't get any for them. On Monday, Tom earned $8072. On Tuesday, Tom earned $1992. How much did Tom earn in total?",10064
strategy_052,strategy_switch,math,3,Tom has 273 mangoes. The receipt was printed on recycled paper. Tom gives 46 to Alex and buys 495 more. How many mangoes does Tom have now?,722
strategy_053,strategy_switch,math,3,"David earned money over 3 days. On Monday, David earned $243. On Tuesday, David earned $226. The receipt was printed on recycled paper. On Wednesday, David earned $399. How much did David earn in total?",868
strategy_056,strategy_switch,math,2,Lin has 12 cookies and wants to share them equally among 3 friends. How many cookies does each friend get?,4
strategy_066,strategy_switch,math,1,Kenji goes to a store to buy rulers. Each ruler costs $27. Kenji buys 20 of them. How much does Kenji spend in total?,540
strategy_068,strategy_switch,math,4,"Alex reads 108 pages per hour. The store also had 8 envelopes on display, but Alex didn't buy any. If Alex works for 8 hours, how many pages does Alex read?",864
strategy_070,strategy_switch,math,5,"Alex goes shopping with $6318. Alex buys 8 folders at $37 each. 22 of the items were slightly bruised, but Alex kept them all. Alex buys 8 erasers at $59 each. Alex buys 10 notebooks at $117 each. How much money does Alex have left?",4380
strategy_071,strategy_switch,math,3,Maria goes to a store to buy rulers. Maria's favorite color is blue. Each ruler costs $41. Maria buys 6 of them. How much does Maria spend in total?,246
strategy_074,strategy_switch,math,2,Carlos goes to a store to buy notebooks. Each notebook costs $42. Carlos buys 12 of them. How much does Carlos spend in total?,504
strategy_077,strategy_switch,math,4,David wants to buy a camera that costs $28. David noticed that 38 other customers were in the store. The store is offering a 25% discount today. How much does David pay after the discount?,21
strategy_084,strategy_switch,math,4,"Carlos goes shopping with $549. Carlos buys 4 pens at $10 each. Carlos buys 7 rulers at $12 each. Carlos buys 7 notebooks at $54 each. 9 of the items were slightly bruised, but Carlos kept them all. How much money does Carlos have left?",47
strategy_088,strategy_switch,math,2,Sarah has 29 apples. Sarah gives 10 to Fatima and buys 4 more. How many apples does Sarah have now?,23
strategy_089,strategy_switch,math,3,Sarah has 423 oranges. Sarah gives 120 to Aisha and buys 238 more. Sarah's favorite color is blue. How many oranges does Sarah have now?,541
strategy_090,strategy_switch,math,5,"Lin has 4330 oranges and 4391 apples. The store's loyalty program showed Lin had 9 points, which weren't redeemable yet. Lin gives 420 oranges to a friend. How many oranges does Lin have now?",3910
strategy_097,strategy_switch,math,4,"David earned a total of $1370 over three days. There were 7 items in the clearance bin, but David wasn't interested. On the first day, David earned $675. On the second day, David earned $274. How much did David earn on the third day?",421
strategy_098,strategy_switch,math,4,"Alex saves $165 every week for 3 weeks. During that time, Alex spends $118 on new shoes. 8 of the items were slightly bruised, but Alex kept them all. During that time, Alex spends $57 on concert tickets. How much money does Alex have at the end?",320
strategy_100,strategy_switch,math,4,"Rachel goes shopping with $1313. Rachel's friend had mentioned wanting 5 items, but Rachel didn't get any for them. Rachel buys 9 folders at $59 each. Rachel buys 10 erasers at $60 each. Rachel buys 2 markers at $59 each. How much money does Rachel have left?",64
strategy_102,strategy_switch,math,4,Tom has 158 oranges. Tom had 15 coupons in a drawer at home but forgot to bring them. Tom gives 8 to Alex and buys 632 more. How many oranges does Tom have now?,782
strategy_108,strategy_switch,math,4,"Kenji earned a total of $871 over three days. On the first day, Kenji earned $178. Kenji had 3 coupons in a drawer at home but forgot to bring them. On the second day, Kenji earned $99. How much did Kenji earn on the third day?",594
strategy_110,strategy_switch,math,1,Maria has 42 books and wants to share them equally among 7 friends. How many books does each friend get?,6
strategy_114,strategy_switch,math,4,"Tom has 610 pears. Tom gives 129 to Nadia and buys 22 more. On the way there, Tom passed 41 houses. How many pears does Tom have now?",503
strategy_124,strategy_switch,math,6,"James has 1506 pencils. There were 36 items in the clearance bin, but James wasn't interested. Aisha has 5 times as many pencils as James. The store's loyalty program showed James had 45 points, which weren't redeemable yet. How many pencils do they have together?",9036
strategy_132,strategy_switch,math,2,David goes to a store to buy markers. Each marker costs $11. David buys 11 of them. How much does David spend in total?,121
strategy_134,strategy_switch,math,1,Kenji has 42 marbles and wants to share them equally among 7 friends. How many marbles does each friend get?,6
strategy_137,strategy_switch,math,3,"Nadia reads 17 pages per hour. The store had been open since 1987. If Nadia works for 6 hours, how many pages does Nadia read?",102
strategy_138,strategy_switch,math,2,Priya goes to a store to buy erasers. Each eraser costs $12. Priya buys 19 of them. How much does Priya spend in total?,228
strategy_140,strategy_switch,math,5,Rachel and James sort files together. Rachel can finish 24 per hour and James can finish 20 per hour. The cashier mentioned they had sold 39 items earlier that day to someone else. They work together for 2 hours. How many do they complete in total?,88
strategy_144,strategy_switch,math,4,"Tom has 263 mangoes. The store's loyalty program showed Tom had 29 points, which weren't redeemable yet. Tom gives 44 to Nadia and buys 304 more. How many mangoes does Tom have now?",523
strategy_146,strategy_switch,math,3,Lin wants to buy a guitar that costs $132. A song was playing on the radio in the background. The store is offering a 50% discount today. How much does Lin pay after the discount?,66
strategy_147,strategy_switch,math,5,"Nadia saves $70 every week for 6 weeks. The shelf had 38 empty spots where items used to be. During that time, Nadia spends $122 on new shoes. How much money does Nadia have at the end?",298
strategy_149,strategy_switch,math,3,Maria goes to a store to buy erasers. Maria was wearing a red hat that day. Each eraser costs $48. Maria buys 13 of them. How much does Maria spend in total?,624
offload_0_hist_4_2,offloading,history,4,Who was the last emperor of the Byzantine Empire?,Constantine XI
offload_0_cul_3_4,offloading,culture,3,Who painted The Garden of Earthly Delights?,Hieronymus Bosch
offload_0_cul_5_1,offloading,culture,5,Who directed the film Sansho the Bailiff (1954)?,Kenji Mizoguchi
offload_0_trick_1,offloading,trick,3,What is the largest desert in the world?,Antarctic Desert
offload_0_trick_3,offloading,trick,3,How many time zones does China have?,1
offload_0_trick_4,offloading,trick,3,Which planet in our solar system has the most moons?,Saturn
offload_0_sci_4_5,offloading,science,4,"What is the escape velocity from Earth's surface, approximately in km/s?",11.2
offload_0_trick_2,offloading,trick,3,What is the national language of the United States?,
offload_1_geo_4_4,offloading,geography,4,What is the deepest point in the Indian Ocean?,Java Trench
offload_1_hist_3_2,offloading,history,3,Who was the last Tsar of Russia?,Nicholas II
offload_1_trick_1,offloading,trick,3,What is the largest desert in the world?,Antarctic Desert
offload_1_geo_4_1,offloading,geography,4,What is the capital of Nauru?,Yaren
offload_1_cul_5_2,offloading,culture,5,Who wrote the novel The Tin Drum?,Gunter Grass
offload_1_cul_4_4,offloading,culture,4,Who designed the Sydney Opera House?,Jorn Utzon
offload_1_sci_2_1,offloading,science,2,What is the chemical symbol for gold?,Au
offload_2_cul_4_1,offloading,culture,4,Who directed the film Stalker (1979)?,Andrei Tarkovsky
offload_2_cul_4_4,offloading,culture,4,Who designed the Sydney Opera House?,Jorn Utzon
offload_2_sci_4_4,offloading,science,4,What is the name of the boundary between the Earth's crust and mantle?,Mohorovicic discontinuity
offload_2_trick_5,offloading,trick,3,What is the tallest mountain in the world measured from base to peak?,Mauna Kea
offload_2_cul_2_1,offloading,culture,2,Who wrote 1984?,George Orwell
offload_2_cul_3_2,offloading,culture,3,Who wrote the novel The Brothers Karamazov?,Fyodor Dostoevsky
offload_2_trick_1,offloading,trick,3,What is the largest desert in the world?,Antarctic Desert
offload_2_trick_2,offloading,trick,3,What is the national language of the United States?,
offload_2_sci_3_3,offloading,science,3,What is the SI unit of electrical capacitance?,Farad
offload_2_geo_5_3,offloading,geography,5,What is the capital of Comoros?,Moroni
offload_2_geo_4_1,offloading,geography,4,What is the capital of Nauru?,Yaren
offload_2_geo_3_1,offloading,geography,3,What is the capital of Myanmar?,Naypyidaw
offload_3_hist_2_1,offloading,history,2,In what year did World War I begin?,1914
offload_3_hist_5_3,offloading,history,5,In what year was the Congress of Berlin held?,1878
offload_3_geo_3_2,offloading,geography,3,What is the longest river in Europe?,Volga
offload_3_trick_3,offloading,trick,3,How many time zones does China have?,1
offload_3_cul_2_3,offloading,culture,2,"Who sculpted David, displayed in Florence?",Michelangelo
offload_3_trick_4,offloading,trick,3,Which planet in our solar system has the most moons?,Saturn
offload_3_geo_4_4,offloading,geography,4,What is the deepest point in the Indian Ocean?,Java Trench
offload_3_geo_3_1,offloading,geography,3,What is the capital of Myanmar?,Naypyidaw
offload_4_trick_3,offloading,trick,3,How many time zones does China have?,1
offload_4_trick_2,offloading,trick,3,What is the national language of the United States?,
offload_4_geo_4_3,offloading,geography,4,What is the capital of Palau?,Ngerulmud
